TILE_M;TILE_N;TILE_K;ms
2;16;4;307.501
2;32;4;272.562
4;8;4;449.667
4;16;4;233.545
4;32;4;158.837
8;8;4;233.644
8;16;4;159.712
8;32;4;164.873
16;16;4;167.898
16;32;4;183.155
32;32;4;308.364
2;16;8;510.435
2;32;8;273.146
4;8;8;328.691
4;16;8;175.623
4;32;8;126.065
8;8;8;130.812
8;16;8;101.286
8;32;8;104.545
16;16;8;96.1316
16;32;8;106.749
32;32;8;191.622
2;16;12;490.216
2;32;12;256.748
4;8;12;353.642
4;16;12;161.349
4;32;12;120.581
8;8;12;150.626
8;16;12;101.091
8;32;12;111.841
16;16;12;87.8981
16;32;12;92.3073
32;32;12;147.323
2;16;16;474.822
2;32;16;243.882
4;8;16;315.953
4;16;16;150.569
4;32;16;143.045
8;8;16;121.601
8;16;16;101.188
8;32;16;99.2665
16;16;16;82.5203
16;32;16;84.7671
32;32;16;126.83
2;16;24;479.294
2;32;24;235.669
4;8;24;321.995
4;16;24;157.434
4;32;24;159.514
8;8;24;120.376
8;16;24;104.175
8;32;24;98.9946
16;16;24;88.8447
16;32;24;85.0397
32;32;24;105.474
2;16;32;464.34
2;32;32;226.62
4;8;32;320.571
4;16;32;148.953
4;32;32;166.4
8;8;32;120.507
8;16;32;102.698
8;32;32;98.3493
16;16;32;78.7941
16;32;32;78.8916
32;32;32;95.6806
2;16;40;477.098
2;32;40;260.611
4;8;40;322.107
4;16;40;152.708
4;32;40;167.545
8;8;40;120.121
8;16;40;105.684
8;32;40;100.223
16;16;40;85.8658
16;32;40;84.3619
32;32;40;83.694
2;16;52;478.513
2;32;52;304.752
4;8;52;330.209
4;16;52;151.791
4;32;52;165.697
8;8;52;126.801
8;16;52;106.851
8;32;52;99.6073
16;16;52;85.7666
16;32;52;85.5665
32;32;52;85.3042
2;16;64;466.831
2;32;64;350.687
4;8;64;321.879
4;16;64;148.634
4;32;64;169.303
8;8;64;125.069
8;16;64;108.51
8;32;64;98.5628
16;16;64;82.1831
16;32;64;80.1839
32;32;64;80.8617
