TILE_M;TILE_N;TILE_K;ms;ms_padded
8;8;16;134.885;134.281
8;8;32;135.529;147.277
8;8;48;123.515;128.209
8;8;64;153.59;155.869
8;16;16;114.832;114.123
8;16;32;114.582;106.699
8;16;48;110.594;107.176
8;16;64;115.589;104.314
8;32;16;114.063;118.492
8;32;32;102.548;100.954
8;32;48;106.999;110.97
8;32;64;104.004;106.47
16;8;16;107.327;114
16;8;32;123;124.554
16;8;48;104.083;105.625
16;8;64;121.944;121.085
16;16;16;99.7775;97.5666
16;16;32;100.727;99.1242
16;16;48;100.435;93.4368
16;16;64;96.223;95.5924
16;32;16;117.372;133.491
16;32;32;98.9952;103.264
16;32;48;100.158;108.286
16;32;64;94.5592;106.119
32;8;16;114.789;116.739
32;8;32;119.827;121.75
32;8;48;103.367;107.361
32;8;64;117.936;121.095
32;16;16;106.224;103.81
32;16;32;98.6593;110.749
32;16;48;101.548;108.488
32;16;64;95.3119;102.801
32;32;16;155.716;147.961
32;32;32;122.294;118.16
32;32;48;125.544;125.99
32;32;64;115.878;113.434
